id,en,tw,status,comment
40,get away with,逃避處罰,1,Janik cheated on the exam and then tried to get away with it.
41,blow up,爆炸,1,The terrorists tried to blow up the railroad station.
42,put away,儲蓄，儲存,1,We put away money for our retirement. She put away the cereal boxes.
43,try on,試穿，試戴,1,She tried on fifteen dresses before she found one she liked.
44,use up,用光，用盡,1,The gang members used up all the money and went out to rob some more banks.
45,put on,穿、戴 (衣物、帽子等),1,I put on a sweater and a jacket. (I put them on quickly.)
46,drop by,未事先約定地造訪,1,"We used to just drop by, but they were never home, so we stopped doing that."
47,leave out,省略，遺漏,1,You left out the part about the police chase down Asylum Avenue.
48,try out,嚴格地試驗,1,I tried out four cars before I could find one that pleased me.
49,go over,複習,1,The students went over the material before the exam. They should have gone over it twice.
50,break down,損壞，故障,1,That old Jeep had a tendency to break down just when I needed it the most.
51,talk back to,反唇相譏，頂嘴,1,The star player talked back to the coach and was thrown off the team.
52,find out,發現,1,My sister found out that her husband had been planning a surprise party for her.
53,get along with,相處融洽,1,I found it very hard to get along with my brother when we were young.
54,look out for,注意查看，預見,1,Good instructors will look out for early signs of failure in their students
55,look over,檢查，查看,1,The lawyers looked over the papers carefully before questioning the witness. (They looked them over carefully.)
56,think back on,憶起，記起,1,I often think back on my childhood with great pleasure.
57,hang up,懸掛；掛斷電話,1,She hung up the phone before she hung up her clothes.
58,look in on,順道拜訪 (某人),1,"We were going to look in on my brother-in-law, but he wasn't home."
59,keep on ( +Ving),繼續 (做某事),1,He tried to keep on singing long after his voice was ruined.
60,fill out,填好,1,Fill out this application form and mail it in.
61,come back,回到 (某地),1,Father promised that we would never come back to this horrible place.
62,walk out on,遺棄,1,Her husband walked out on her and their three children.
63,get by,存活,1,"Uncle Heine didn't have much money, but he always seemed to get by without borrowing money from relatives."
64,look into,調查,1,The police will look into the possibilities of embezzlement.
65,hold up (2),搶劫,1,Three masked gunmen held up the Security Bank this afternoon.
66,call on (2),拜訪,1,The old minister continued to call on his sick parishioners.
67,look up,尋找 (某物)，在 (字典中) 查明,1,You've misspelled this word again. You'd better look it up.
68,hold up,使延遲,1,"I hate to hold up the meeting, but I have to go to the bathroom."
69,grow up,長大,1,Charles grew up to be a lot like his father.
70,call on,叫 (學生) 背誦；要求做,1,The teacher called on students in the back row.
71,go back,回到 (某地),1,It's hard to imagine that we will ever go back to Kaohsiung.
72,turn up,調高音量,1,"Grandpa couldn't hear, so he turned up his hearing aid."
73,run out of,耗盡,1,The runners ran out of energy before the end of the race.
74,take off,脫去 (衣、帽),1,It was so hot that I had to take off my shirt.
75,throw away,丟棄，拋棄,1,That's a lot of money! Don't just throw it away.
76,come up with,建議，捐獻,1,"After years of giving nothing, the old parishioner was able to come up with a thousand-dollar donation."
77,call off,取消,1,They called off this afternoon's meeting
78,do over,重複，重做,1,Do this homework over.
79,get over,(自生病或失望中) 復原，痊癒,1,"I got over the flu, but I don't know if I'll ever get over my broken heart."
80,get through with,完成,1,When will you ever get through with that program?
81,talk over,討論,1,We have serious problems here. Let's talk them over like adults.
82,go on,繼續,1,He would finish one Dickens novel and then just go on to the next.
83,turn on,打開 (電燈等),1,Turn on the CD player so we can dance.
84,wake up,起床，喚醒,1,I woke up when the rooster crowed.
85,set up,布置，開始,1,My wife set up the living room exactly the way she wanted it. She set it up.
86,catch on,變得流行,1,Popular songs seem to catch on in California first and then spread eastward.
87,fill up,填滿,1,She filled up the grocery cart with free food.
88,put out,熄滅,1,The firefighters put out the house fire before it could spread. (They put it out quickly.)
89,show off,炫耀,1,"Whenever he sat down at the piano, we knew he was going to show off."
90,turn down,降低音量,1,Your radio is driving me crazy! Please turn it down.
91,pick up,舉起，抬起,1,The crane picked up the entire house. (Watch them pick it up.)
92,look up to,尊敬,1,First-graders really look up to their teachers.
93,check up on,檢查，調查,1,The boys promised to check up on the condition of the summer house from time to time.
94,keep up with,趕得上，保持與.....同樣的速度,1,It's hard to keep up with the Joneses when you lose your job!
95,bring up,提起,1,My mother brought up that little matter of my prison record again.
