id,en,tw,status,comment
103,in,(adj.2) 在裡面的,,1
104,inside,"(adj.6) 裡面的,內側的;內幕的",,1
105,iron,(adj.4) 鐵的;剛強的;殘酷的,,1
106,just,(adj.4) 正直的;公平的;應得的;正確的,,1
107,key,"(adj.3) 重要的,基本的,關鍵的",,1
108,kind,(adj.4) 仁慈的,,1
109,large,(adj.5) 大的,,1
110,last,(adj.4) 最後的,,1
111,late,(adj.4) 晚的;遲的,,1
112,lazy,(adj.4) 懶惰的,,1
113,least,(adj.5) 最小的;最少的;最不重要的,,1
114,left,(adj.4) 左邊的,,1
115,less,(adj.4) 較少的,,1
116,level,"(adj.5) 水平的,平的;筆直的",,1
117,light,(adj.5) 輕的,,1
118,likely,(adj.6) 有可能的,,1
119,little,(adj.6) 很少的,,1
120,live,"(adj.4) 活的,有生命的;燃著的;實況播送的",,1
121,long,(adj.4) 長的,,1
122,loud,(adj.4) 大聲的,,1
123,low,(adj.3) 低的;矮的,,1
124,lucky,(adj.5) 幸運的,,1
125,mad,(adj.3) 發火;發瘋;發狂的,,1
126,many,(adj.4) 很多的,,1
127,mean,(adj.4) 兇的;吝嗇的,,1
128,middle,(adj.6) 中間的,,1
129,more,(adj.4) 更多的,,1
130,most,(adj.4) 最多的;大部分的,,1
131,much,(adj.4) 很多的,,1
132,near,(adj.4) 近的,,1
133,new,(adj.3) 新的,,1
134,next,(adj.4) 下一個,,1
135,nice,(adj.4) 好的,,1
136,nine,(adj.4) 九的,,1
137,nineteen,(adj.8) 十九的,,1
138,ninety,(adj.6) 九十的,,1
139,no,(adj.2) 沒有;不,,1
140,noisy,(adj.5) 喧鬧的,,1
141,north,(adj.5) 北方的,,1
142,O.K.,(adj.4) 可以的;不錯的;很好的,,1
143,off,(adj.3) 離去的;偏離的;休假的;關著的,,1
144,OK,(adj.2) 好吧,,1
145,okay,(adj.4) 對;可以;不錯,,1
146,old,(adj.3) 年老的,,1
147,one,(adj.3) 一個的,,1
148,open,(adj.4) 打開的;空曠的;未定的;營業的;公開的,,1
149,orange,(adj.6) 橙色的,,1
150,other,(adj.5) 其他的,,1
151,out,(adj.3) 在外的,,1
152,outside,"(adj.7) 外邊的,外部的",,1
153,own,(adj.3) 自己的,,1
154,past,(adj.4) 過去的,,1
155,poor,(adj.4) 貧窮的,,1
156,possible,(adj.8) 可能的,,1
157,pretty,(adj.6) 漂亮的,,1
158,public,(adj.6) 公開的;公立的,,1
159,purple,(adj.6) 紫色的,,1
160,quick,(adj.5) 快的,,1
161,quiet,(adj.5) 安靜的,,1
162,ready,(adj.5) 準備好的,,1
163,real,(adj.4) 真實的,,1
164,red,(adj.3) 紅色的,,1
165,rich,(adj.4) 富有的,,1
166,right,(adj.5) 右邊;對的,,1
167,round,(adj.5) 圓形的,,1
168,sad,(adj.3) 難過的,,1
169,safe,(adj.4) 安全的,,1
170,salt,"(adj.4) 鹹水的;含鹽的;(故事,笑話等)猥褻的",,1
171,same,(adj.4) 相同的,,1
172,second,"(adj.6) 第二的;次要的,副的,從屬的",,1
173,selfish,(adj.7) 自私的,,1
174,seven,(adj.5) 七的,,1
175,seventeen,(adj.9) 十七的,,1
176,seventy,(adj.7) 七十的,,1
177,several,(adj.7) 幾個的,,1
178,sharp,(adj.5) 尖銳的;敏銳的,,1
179,short,(adj.5) 矮的;短的,,1
180,shy,(adj.3) 害羞的,,1
181,sick,(adj.4) 生病的,,1
182,silly,(adj.5) 傻的;無聊的,,1
183,silver,(adj.6) 銀的;銀白的,,1
184,simple,(adj.6) 簡單的,,1
185,six,(adj.3) 六的,,1
186,sixteen,(adj.7) 十六的,,1
187,sixty,(adj.5) 六十的,,1
188,slow,(adj.4) 緩慢的,,1
189,small,(adj.5) 小的,,1
190,smart,(adj.5) 聰明的,,1
191,soft,(adj.4) 柔軟的,,1
192,some,(adj.4) 一些的,,1
193,sorry,(adj.5) 抱歉;遺憾的,,1
194,sound,"(adj.5) 完好的;堅固的;合理的,明智的;殷實的",,1
195,sour,(adj.4) 酸的,,1
196,south,(adj.5) 南方的,,1
197,special,(adj.7) 特別的,,1
198,still,(adj.5) 靜止的,,1
199,strange,(adj.7) 奇怪的,,1
200,strong,(adj.6) 強壯的,,1
201,stupid,(adj.6) 笨的,,1
202,such,(adj.4) 如此的,,1
203,super,(adj.5) 超級的,,1
204,sure,(adj.4) 確定,,1
205,sweet,(adj.5) 甜的,,1
206,tall,(adj.4) 高的,,1
207,ten,(adj.3) 十的,,1
208,that,(adj.4) 那;那個,,1
209,then,(adj.4) 當時的,,1
210,these,(adj.5) 這些 (this 的複數),,1
211,third,(adj.5) 第三,,1
212,thirteen,(adj.8) 十三的,,1
213,thirty,(adj.6) 三十的,,1
214,this,(adj.4) 這,,1
215,those,(adj.5) 那些的;那,,1
216,thousand,(adj.8) 千的,,1
217,three,(adj.5) 三的,,1
218,tiny,(adj.4) 微小的,,1
219,top,(adj.3) 最高的,,1
220,total,(adj.5) 總的,,1
221,TRUE,(adj.4) 真實的;正確的,,1
222,twelve,(adj.6) 十二的,,1
223,twenty,(adj.6) 二十的,,1
224,two,(adj.3) 二的,,1
225,up,(adj.2) 向上的;上行的,,1
226,upstairs,(adj.8) 樓上的,,1
227,useful,(adj.6) 有用的,,1
228,warm,(adj.4) 溫暖的,,1
229,weak,(adj.4) 虛弱的,,1
230,welcome,(adj.7) 受歡迎的;令人愉快的;被允許的,,1
231,well,(adj.4) 健康的,,1
232,west,(adj.4) 西方的,,1
233,what,"(adj.4) 什麼;多麼,何等",,1
234,which,"(adj.5) 哪一個,哪一些;這個,這些",,1
235,white,(adj.5) 白色的,,1
236,whole,(adj.5) 完整的,,1
237,wide,"(adj.4) 寬的,廣泛的",,1
238,worse,"(adj.5) 更壞的,更差的",,1
239,worst,(adj.5) 最壞的;最差的,,1
240,wrong,(adj.5) 錯誤的,,1
241,yellow,(adj.6) 黃色的,,1
242,young,(adj.5) 年輕的,,1
243,yucky,(adj.5) 討人厭的;噁心的,,1
244,yummy,(adj.5) 好吃的,,1
245,act,(v.3) 扮演,,1
246,add,(v.3) 添加,,1
247,address,(v.7) 寫上收件人姓名地址;向...致詞,,1
248,age,(v.3) 使變老;使(酒之)味道變醇;使成熟,,1
249,agree,(v.5) 同意,,1
250,allow,(v.5) 允許,,1
251,am,"(v.2) 是,在; be 動詞第一人稱,單數,現在式",,1
252,answer,(v.6) 回答,,1
253,ape,(v.3) 模仿,,1
254,appear,(v.6) 出現,,1
255,are,"(v.3) 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式",,1
256,ask,(v.3) 問,,1
257,back,(v.4) 向後;追溯;回覆;贊助,,1
258,ball,(v.4) 使成球形; 呈球狀,,1
259,balloon,(v.7) 像氣球般鼓起(或膨脹);乘氣球上升;激增,,1
260,bank,(v.4) 存(款)於銀行;築堤防護;堆積,,1
261,bar,(v.3) 閂住;阻攔;禁止,,1
262,base,(v.4) 以...為基地,,1
263,bat,(v.3) 揮打;眨(眼),,1
264,bathe,(v.5) 洗澡,,1
265,be,(v.2) 是;要;有;在,,1
266,beach,(v.5) 將(船等)拖上岸,,1
267,beat,(v.4) 擊敗;敲擊,,1
268,become,(v.6) 變成,,1
269,begin,(v.5) 開始,,1
270,believe,(v.7) 相信,,1
271,belong,(v.6) 屬於,,1
272,best,(v.4) 打敗;勝過,,1
273,better,(v.6) 改善;提高;超過;變得較好,,1
274,bite,(v.4) 咬,,1
275,block,(v.5) 阻塞,,1
276,blow,(v.4) 吹,,1
277,book,(v.4) 預訂;預雇;預約;登記,,1
278,bottom,"(v.6) 基於,根據;到達底部;降至最低點",,1
279,box,(v.3) 把...裝箱(或盒等),,1
280,break,(v.5) 斷裂;中斷;打破（記錄）,,1
281,breakfast,(v.9) 吃早餐; 為...供應早餐,,1
282,bridge,(v.6) 架橋於;把...連結(或彌合)起來,,1
283,bring,(v.5) 帶來,,1
284,brown,(v.5) 變成褐色(或棕色),,1
285,bug,(v.3) 在...安裝竊聽器;煩擾;激怒,,1
286,build,(v.5) 建造;蓋,,1
287,bus,(v.3) 用公車運送,,1
288,busy,(v.4) 使忙於,,1
289,butter,(v.6) 塗奶油於;以花言巧語討好,,1
290,buy,(v.3) 買,,1
291,cage,(v.4) 把...關進籠子;把...囚禁起來,,1
292,call,(v.4) 喊;打電話,,1
293,camp,(v.4) 露營,,1
294,can,"(v.3) 能,會;可能;可以;必須",,1
295,cap,(v.3) 給...戴帽;加蓋於,,1
296,care,(v.4) 關心;照顧,,1
297,carry,(v.5) 提;搬運,,1
298,case,(v.4) 把...裝入箱(或容器)中,,1
299,catch,(v.5) 接(球);捕獲,,1
300,cause,"(v.5) 導致,使發生,引起",,1
301,center,(v.6) 集中;居中,,1
302,chair,(v.5) 主持(會議);任(會議的)主席,,1
303,chance,(v.6) 冒...的險;賭(錢); 碰巧,,1
304,chart,(v.5) 繪製...的圖表;詳細計劃,,1
305,chase,(v.5) 追,,1
306,check,(v.5) 檢查,,1
307,class,(v.5) 把...分類;把...分等級,,1
308,clean,(v.5) 打掃,,1
309,clear,(v.5) 使乾淨;收拾;交換票據,,1
310,climb,(v.5) 爬;攀登,,1
311,close,(v.5) 關上,,1
312,cloud,(v.5) 陰雲密佈;變暗;變模糊;變混濁,,1
313,coat,(v.4) 塗在...上;給...穿上外套,,1
314,color,(v.5) 著色;渲染;文飾;歪曲;影響,,1
315,come,(v.4) 到來,,1
316,continue,(v.8) 繼續,,1
317,cook,(v.4) 煮,,1
318,cool,(v.4) 使涼快;使冷卻,,1
319,correct,(v.7) 改正;糾正,,1
320,cost,(v.4) 花費,,1
321,count,(v.5) 計算;數,,1
322,course,(v.6) (用獵犬)追獵;追逐,,1
323,cover,(v.5) 蓋住,,1
324,cry,(v.3) 哭叫,,1
325,cup,(v.3) 使(手掌)成杯狀;把...放入杯內,,1
326,cut,(v.3) 切割;剪,,1
327,dance,(v.5) 跳舞,,1
328,darken,(v.6) 使變暗;變黑,,1
329,date,(v.4) 約會,,1
330,deal,(v.4) 處理;對付;對待[(+with)],,1
331,decide,(v.6) 決定,,1
332,die,(v.3) 死,,1
333,dig,(v.3) 挖掘,,1
334,direct,(v.6) 指引,,1
335,dirty,(v.5) 弄髒; 變髒,,1
336,discover,(v.8) 發現,,1
337,dish,(v.4) 盛...於盤中,,1
338,do,(v.2) 做,,1
339,down,(v.4) 擊倒,,1
340,draw,(v.4) 畫;繪製;描寫,,1
341,dream,(v.5) 做(夢);想像,,1
342,drink,(v.5) 喝,,1
343,drive,(v.5) 開車,,1
344,dry,(v.3) 曬乾;風乾,,1
345,duck,(v.4) 躲避;迴避,,1
346,ease,(v.4) 減輕,,1
347,eat,(v.3) 吃,,1
348,edge,(v.4) 使鋒利;使漸進,,1
349,end,(v.3) 結束,,1
350,enter,(v.5) 輸入;進入,,1
351,equal,(v.5) 等於,,1
352,even,(v.4) 使平坦;弄平;使相等,,1
353,examine,(v.7) 檢查;測驗,,1
354,except,(v.6) 把...除外;反對,,1
355,eye,(v.3) 看;注視;審視,,1
356,face,(v.4) 面向;正對;正視;朝;向,,1
357,fall,(v.4) 掉下,,1
358,fan,(v.3) 扇;煽動;激起,,1
359,farm,(v.4) 耕作;養殖;經營農場;從事畜牧業,,1
360,father,(v.6) 做...的父親; 創始;創立,,1
361,fear,(v.4) 畏懼,,1
362,feed,(v.4) 吃;餵養,,1
363,feel,(v.4) 感覺,,1
364,fight,(v.5) 打架;作戰,,1
365,fill,(v.4) 充滿;填充,,1
366,find,(v.4) 找到,,1
367,fine,(v.4) 使純;澄清;使精細,,1
368,finger,(v.6) 撥弄;指出;告密;告發,,1
369,finish,(v.6) 完成,,1
370,fire,"(v.4) 解雇,開除;點燃; 開火;射擊",,1
371,fish,(v.4) 釣魚,,1
372,floor,(v.5) 在...鋪設地板;使大為震驚,,1
373,flower,"(v.6) 開花;發育,成熟;繁榮",,1
374,fly,(v.3) 飛,,1
375,fog,(v.3) 以霧籠罩;使困惑;使模糊,,1
376,follow,(v.6) 遵循;跟隨,,1
377,foot,"(v.4) 支付(帳單或費用);合計為,總計",,1
378,force,(v.5) 強迫,,1
379,forget,(v.6) 忘記,,1
380,fork,"(v.4) 分歧,分叉",,1
381,free,(v.4) 使自由;解放;使解脫,,1
382,front,(v.5) 向前;在前面;面對,,1
383,fruit,(v.5) 結果實; 使結果實,,1
384,garden,"(v.6) 從事園藝,在園中種植;",,1
385,gas,(v.3) 放出氣體;加油;空談;吹牛,,1
386,get,(v.3) 得到;拿到,,1
387,give,(v.4) 給,,1
388,go,(v.2) 去;走,,1
389,gray,(v.4) 使成灰色(或灰白),,1
390,green,(v.5) 使成為綠色,,1
391,grey,(v.4) 使成灰色,,1
392,ground,"(v.6) 使擱淺;使停飛;依靠,根據,基於",,1
393,group,(v.5) 把...分組(或歸類),,1
394,grow,(v.4) 種植;成長,,1
395,guess,(v.5) 猜,,1
396,guest,"(v.5) 款待,招待",,1
397,guide,(v.5) 引導,,1
398,gun,(v.3) 用槍射擊,,1
399,hand,"(v.4) 面交,給,傳遞",,1
400,happen,(v.6) 發生,,1
401,hate,(v.4) 憎恨,,1
402,have,(v.4) 有,,1
403,head,"(v.4) 率領;出發,駛往",,1
404,hear,(v.4) 聽見,,1
405,heat,(v.4) 把...加熱;使暖;使激動;刺激,,1
406,help,(v.4) 幫忙,,1
407,hit,(v.3) 打;擊,,1
408,hold,(v.4) 拿著,,1
409,hole,"(v.4) 鑿洞於,穿孔於;進入洞中",,1
410,home,(v.4) 回家;為...提供住處,,1
411,hope,(v.4) 希望,,1
412,house,(v.5) 給...房子住,,1
413,hurt,(v.4) 傷害;使疼痛,,1
414,inch,(v.4) 使緩慢地移動,,1
415,interest,(v.8) 使發生興趣,,1
416,iron,(v.4) 熨燙,,1
417,is,"(v.2) 是,在; be 動詞第三人稱,單數,現在式",,1
418,join,(v.4) 加入,,1
419,joke,(v.4) 開玩笑,,1
420,jump,(v.4) 跳躍,,1
421,keep,(v.4) 保留;保持,,1
422,key,(v.3) 鎖上;插上;為...調音;用鍵盤輸入,,1
423,kick,(v.4) 踢,,1
424,kid,(v.3) 戲弄,,1
425,kill,(v.4) 殺,,1
426,kiss,(v.4) 親吻,,1
427,knee,(v.4) 用膝蓋碰(撞),,1
428,knife,"(v.5) (用刀)切;戮,刺",,1
429,know,(v.4) 知道,,1
430,lack,(v.4) 缺乏,,1
431,lamb,(v.4) 產羔羊,,1
432,land,(v.4) 登陸,,1
433,last,(v.4) 持續,,1
434,laugh,(v.5) 笑,,1
435,lay,(v.3) 置放;產卵,,1
436,lead,(v.4) 引導,,1
437,leaf,(v.4) 匆匆翻閱; 生葉片,,1
438,learn,(v.5) 學習,,1
439,leave,(v.5) 離開;丟下,,1
440,let,(v.3) 讓,,1
441,lie,(v.3) 說謊;躺,,1
442,lift,(v.4) 舉起,,1
443,light,(v.5) 點(火);點燃;照亮,,1
444,like,(v.4) 喜歡,,1
445,line,(v.4) 排隊,,1
446,list,(v.4) 列成表,,1
447,listen,(v.6) 傾聽,,1
448,live,(v.4) 居住,,1
449,long,(v.4) 長久地;始終; 渴望,,1
450,look,(v.4) 看,,1
451,love,"(v.4) 愛好,喜歡",,1
452,lunch,(v.5) 吃午餐,,1
453,machine,(v.7) 用機器做,,1
454,mail,(v.4) 寄信,,1
455,make,(v.4) 製造; 使得,,1
456,man,(v.3) 給...配置人員,,1
457,map,(v.3) 繪製...的地圖;詳細計劃,,1
458,market,(v.6) (在市場上)銷售,,1
459,marry,(v.5) 結婚,,1
460,master,(v.6) 精通,,1
461,matter,"(v.6) 有關係,要緊",,1
462,mean,(v.4) 意指,,1
463,meet,(v.4) 遇見,,1
464,middle,(v.6) 放在中間;對摺,,1
465,milk,(v.4) 擠(奶);榨取;偷聽電訊,,1
466,mind,(v.4) 介意,,1
467,miss,(v.4) 想念;惦記;未達到,,1
468,mistake,"(v.7) 弄錯,誤解;弄錯,搞錯",,1
469,mother,(v.6) 生下;產生出,,1
470,mouth,(v.5) 誇大地說話,,1
471,move,(v.4) 移動,,1
472,name,(v.4) 給...取名;列舉,,1
473,near,"(v.4) 近,接近;幾乎,差不多",,1
474,neck,(v.4) 摟著脖子親吻;變細;變狹窄,,1
475,need,(v.4) 需要,,1
476,nose,"(v.4) 探問,探著;引導;嗅,聞",,1
477,note,(v.4) 注意;記下,,1
478,notice,(v.6) 注意到;通知,,1
479,number,"(v.6) 編號,總數達到,共計",,1
480,nurse,"(v.5) 看護,護理;給...餵奶;培育;當奶媽",,1
481,O.K.,(v.4) 尚可;挺好;批准,,1
482,oil,(v.3) 給...加潤滑油;賄賂,,1
483,OK,(v.2) 尚可;挺好;批准,,1
484,okay,"(v.4) 對,很好地;批准,認可",,1
485,open,(v.4) 打開,,1
486,order,(v.5) 點菜;訂購,,1
487,out,(v.3) 出現;問世;顯露,,1
488,own,(v.3) 擁有,,1
489,paint,(v.5) 畫圖;油漆,,1
490,pair,"(v.4) 成對,配對",,1
491,paper,"(v.5) 用紙包;掩蓋,粉飾",,1
492,park,(v.4) 停放車輛; 放置,,1
493,part,"(v.4) 使分開,使分離;斷裂;告別",,1
494,party,(v.5) 開派對;參加派對,,1
495,pass,(v.4) 及格;經過;超過;傳遞,,1
496,pay,(v.3) 付錢,,1
497,pen,(v.3) 寫;寫作;囚禁,,1
498,pencil,"(v.6) 草擬,起草",,1
499,people,"(v.6) 使人住在,居住於",,1
500,pet,(v.3) 把...當作寵兒;寵愛;撫弄;生氣,,1
501,picture,"(v.7) 畫,拍攝;描述",,1
502,piece,(v.5) 拼湊;拼合;修理;修補,,1
503,pig,(v.3) 生小豬;像豬一樣過活,,1
504,place,"(v.5) 放置,安置;任命",,1
505,plan,(v.4) 計劃,,1
506,plant,(v.5) 栽種;播種,,1
507,play,(v.4) 玩,,1
508,please,(v.6) 請;取悅,,1
509,pocket,(v.6) 侵吞;擊(球)落袋;忍受,,1
510,point,(v.5) 瞄準;指出;強調;對準,,1
511,police,"(v.6) 管理,監督",,1
512,pool,"(v.4) 合辦,聯營",,1
513,position,(v.8) 把...放在適當位置,,1
514,power,(v.5) 給...提供動力; 快速前進,,1
515,practice,(v.8) 練習;訓練,,1
516,prepare,(v.7) 準備,,1
517,price,(v.5) 給...定價,,1
518,print,(v.5) 印刷;用印刷體寫,,1
519,prove,"(v.5) 證明,證實",,1
520,pull,(v.4) 拉,,1
521,push,(v.4) 推開,,1
522,put,(v.3) 放置,,1
523,question,(v.8) 詢問,,1
524,quiet,"(v.5) 使安靜;撫慰,安慰",,1
525,race,(v.4) 與...賽跑,,1
526,radio,(v.5) 用無線電傳送,,1
527,rain,(v.4) 下雨,,1
528,raise,(v.5) 舉起;提高,,1
529,reach,(v.5) 到;伸出,,1
530,read,(v.4) 閱讀,,1
531,ready,"(v.5) 預先,事先;使準備好",,1
532,reason,"(v.6) 推論,推理",,1
533,receive,(v.7) 收到,,1
534,remember,(v.8) 記得,,1
535,report,(v.6) 報告;報導,,1
536,rest,(v.4) 休息,,1
537,return,(v.6) 回;還,,1
538,ride,(v.4) 騎;乘,,1
539,ring,"(v.4) (鐘,鈴等)鳴,響",,1
540,rise,(v.4) 起身;升起,,1
541,roll,(v.4) 捲;滾,,1
542,roof,"(v.4) 給...蓋屋頂,覆蓋",,1
543,room,(v.4) 居住; 為...提供住處,,1
544,root,(v.4) 使生根;使紮根,,1
545,rope,"(v.4) 捆,紮,縛,綁",,1
546,round,"(v.5) 變圓;發胖;兜圈子,環行",,1
547,row,(v.3) 划船,,1
548,rub,(v.3) 磨擦,,1
549,rule,(v.4) 統治;裁決,,1
550,run,(v.3) 跑,,1
551,sail,(v.4) 航行,,1
552,salt,(v.4) 給...加鹽;用鹽醃,,1
553,sand,(v.4) 磨光;以沙堵塞,,1
554,save,(v.4) 救;省;存錢,,1
555,saw,(v.3) 鋸;鋸開,,1
556,say,(v.3) 說,,1
557,scare,"(v.5) 驚嚇,使恐懼",,1
558,school,"(v.6) 教育,訓練",,1
559,seat,(v.4) 使就座,,1
560,see,(v.3) 看見,,1
561,seed,"(v.4) (植物)結實,結子;播種",,1
562,seem,(v.4) 似乎是,,1
563,seesaw,(v.6) 玩蹺蹺板;上下(來回)搖動,,1
564,sell,(v.4) 賣,,1
565,send,(v.4) 寄發;送,,1
566,sense,"(v.5) 意識到;了解,領會",,1
567,sentence,(v.8) 宣判;判決,,1
568,serve,(v.5) 服務,,1
569,service,"(v.7) 維修,保養",,1
570,set,(v.3) 安放;沒入,,1
571,shake,(v.5) 搖動;握(手),,1
572,shape,"(v.5) 使成形;塑造,製作",,1
573,shine,(v.5) 照耀,,1
574,ship,"(v.4) 用船運;郵寄;解雇;上船,乘船",,1
575,shop,(v.4) 購物,,1
576,shoulder,"(v.8) 肩起,挑起;擔負,承擔",,1
577,shout,(v.5) 呼叫,,1
578,show,(v.4) 表演;顯示,,1
579,shut,(v.4) 關閉,,1
580,sight,"(v.5) 看見,發現;瞄準;察看",,1
581,sing,(v.4) 唱歌,,1
582,sit,(v.3) 坐,,1
583,size,(v.4) 按一定尺寸製作;估算,,1
584,skin,(v.4) 植皮;癒合;脫皮,,1
585,sleep,(v.5) 睡覺,,1
586,slow,"(v.4) 使慢,放慢",,1
587,smell,(v.5) 聞,,1
588,smile,(v.5) 微笑,,1
589,smoke,(v.5) 抽煙;冒煙,,1
590,snake,(v.5) 蛇行,,1
591,snow,(v.4) 下雪,,1
592,soap,(v.4) 用肥皂擦洗;向...灌迷魂湯,,1
593,soil,(v.4) 弄髒,,1
594,sound,(v.5) 聽起來,,1
595,sour,(v.4) 使變酸;厭煩;變壞,,1
596,space,(v.5) 隔開,,1
597,speak,(v.5) 說;講,,1
598,spell,(v.5) 拼字,,1
599,spend,(v.5) 花費(錢或時間),,1
600,spoon,(v.5) 用匙舀;舀取,,1
601,sport,"(v.5) 炫耀;誇示;遊戲,;開玩笑,嘲弄;突變",,1
602,stand,(v.5) 站住; 堅持; 面對; 承擔...任務,,1
603,star,(v.4) 主演;表現出色,,1
604,start,(v.5) 開始,,1
605,state,(v.5) 陳述,,1
606,station,"(v.7) 駐紮,部署,配置",,1
607,stay,(v.4) 停留,,1
608,step,(v.4) 跨(步);踏(腳),,1
609,stone,(v.5) 用石頭鋪;用磨刀石磨,,1
610,stop,(v.4) 停止,,1
611,store,(v.5) 貯存;收存;供應;蓄有,,1
612,study,(v.5) 學習;讀書,,1
613,sugar,(v.5) 加糖於;粉飾,,1
614,sun,"(v.3) 曬,曝; 曬太陽",,1
615,surprise,(v.8) 使驚奇,,1
616,swim,(v.4) 游泳,,1
617,tail,"(v.4) 尾隨;盯梢;變少,縮小",,1
618,take,(v.4) 拿;帶;採用,,1
619,talk,(v.4) 講話,,1
620,taste,(v.5) 嘗,,1
621,teach,(v.5) 教,,1
622,tell,(v.4) 告訴,,1
623,thank,(v.5) 感謝,,1
624,think,(v.5) 想,,1
625,throw,(v.5) 投;拋,,1
626,ticket,(v.6) 加標籤於;開違規罰單,,1
627,tie,(v.3) 綁;繫,,1
628,time,(v.4) 記錄...的時間;使合拍子,,1
629,tire,(v.4) 疲勞,,1
630,tool,(v.4) 使用工具,,1
631,top,(v.3) 向高處升;達到頂點;高出;超越,,1
632,total,"(v.5) 總計,合計",,1
633,touch,(v.5) 觸摸,,1
634,toy,"(v.3) 玩弄,戲耍;調情,調戲",,1
635,train,"(v.5) 訓練,培養;瞄準; 接受訓練,鍛鍊",,1
